Age,MaritalStatus,Dependents,Education,ResidenceYears,CreditRating,LatePayments2Y,CurrentDebt,ActiveLoans,MaxOverdue1Y,WasBankrupt,DebtVSIncome,MonthlyPayments,MoneyPaidSubscription,Collateral,CreditVSCollateral,MonthlyIncome,JobType,JobExperience,AdditionalIncome,BankRelationshipYears,AverageBalance,CreditCardUsage,CheckCreditHistory,LoanPurpose,HasGuarantor,Region,EarlyRepayments,HasCriminalRecord,NumberKids,Default
19.00,0.00,0.00,0.00,8.00,419.00,0.00,1982507.00,3.00,88.00,0.00,0.39,91083.00,1949.00,0.00,0.84,48166.00,3.00,10.00,22556.00,11.00,105613.00,5.00,4.00,1.00,0.00,0.00,0.00,0.00,8.00,0.00
36.00,2.00,2.00,3.00,9.00,310.00,5.00,1932015.00,5.00,63.00,0.00,0.64,93297.00,1429.00,1.00,0.46,252865.00,2.00,3.00,48714.00,2.00,36903.00,19.00,3.00,2.00,1.00,2.00,0.00,0.00,1.00,0.00
18.00,3.00,0.00,1.00,3.00,848.00,4.00,332884.00,2.00,45.00,0.00,0.31,93053.00,239.00,0.00,0.31,109037.00,0.00,0.00,15695.00,1.00,472431.00,3.00,1.00,2.00,0.00,0.00,0.00,0.00,4.00,0.00
43.00,1.00,2.00,3.00,8.00,667.00,9.00,1603268.00,5.00,56.00,0.00,0.23,40562.00,553.00,0.00,1.02,222476.00,0.00,6.00,44608.00,8.00,483892.00,7.00,3.00,1.00,0.00,1.00,0.00,0.00,9.00,0.00
18.00,3.00,1.00,1.00,8.00,796.00,2.00,104929.00,1.00,55.00,0.00,0.17,24020.00,527.00,0.00,0.58,210694.00,3.00,0.00,23894.00,11.00,31496.00,8.00,2.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00
43.00,1.00,2.00,1.00,2.00,714.00,8.00,347845.00,0.00,76.00,0.00,0.23,5991.00,974.00,0.00,1.00,206131.00,1.00,1.00,18422.00,7.00,153081.00,9.00,3.00,2.00,0.00,2.00,0.00,0.00,5.00,0.00
66.00,0.00,0.00,3.00,4.00,377.00,5.00,1699312.00,3.00,23.00,0.00,0.25,42106.00,1664.00,0.00,1.02,83204.00,2.00,10.00,9058.00,5.00,288231.00,7.00,5.00,2.00,0.00,2.00,1.00,0.00,9.00,0.00
18.00,2.00,2.00,0.00,5.00,340.00,1.00,1156567.00,2.00,11.00,0.00,0.53,70469.00,1051.00,1.00,0.33,296216.00,2.00,8.00,29941.00,9.00,34005.00,19.00,4.00,1.00,0.00,3.00,0.00,0.00,2.00,0.00
69.00,0.00,2.00,0.00,6.00,570.00,9.00,457746.00,4.00,41.00,0.00,0.03,71752.00,913.00,0.00,0.29,200006.00,1.00,5.00,22580.00,7.00,63886.00,14.00,1.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
53.00,2.00,2.00,3.00,7.00,813.00,0.00,1228978.00,4.00,15.00,0.00,0.56,87811.00,1658.00,1.00,0.46,238931.00,1.00,10.00,36255.00,9.00,285110.00,7.00,0.00,0.00,1.00,4.00,0.00,0.00,8.00,0.00
27.00,2.00,3.00,2.00,6.00,352.00,7.00,43004.00,3.00,19.00,0.00,0.63,97543.00,331.00,0.00,1.19,32389.00,0.00,10.00,25112.00,11.00,198985.00,2.00,0.00,0.00,1.00,3.00,0.00,0.00,4.00,0.00
51.00,0.00,3.00,2.00,7.00,788.00,5.00,399156.00,1.00,31.00,0.00,0.48,35868.00,568.00,0.00,0.19,165113.00,2.00,0.00,41034.00,8.00,442985.00,17.00,0.00,0.00,1.00,4.00,1.00,0.00,7.00,0.00
68.00,1.00,0.00,2.00,5.00,841.00,3.00,202683.00,2.00,54.00,1.00,0.64,16167.00,1666.00,0.00,0.18,184490.00,1.00,0.00,26036.00,14.00,28002.00,12.00,3.00,1.00,0.00,2.00,0.00,0.00,9.00,0.00
65.00,1.00,2.00,0.00,3.00,521.00,2.00,1274747.00,4.00,1.00,0.00,0.56,27257.00,106.00,0.00,0.84,88853.00,1.00,2.00,12263.00,13.00,18135.00,1.00,3.00,1.00,0.00,4.00,0.00,0.00,9.00,0.00
68.00,1.00,1.00,2.00,3.00,606.00,8.00,688256.00,5.00,57.00,0.00,0.57,38675.00,847.00,1.00,0.84,62247.00,1.00,4.00,5483.00,13.00,268021.00,18.00,3.00,2.00,1.00,1.00,0.00,0.00,6.00,0.00
68.00,1.00,3.00,0.00,7.00,707.00,4.00,168361.00,3.00,24.00,1.00,0.59,62658.00,1931.00,1.00,1.10,47512.00,1.00,4.00,27479.00,6.00,240836.00,13.00,1.00,1.00,0.00,4.00,0.00,0.00,3.00,0.00
59.00,1.00,3.00,3.00,2.00,807.00,2.00,1283496.00,4.00,51.00,1.00,0.62,17421.00,468.00,0.00,0.14,235202.00,2.00,5.00,45196.00,11.00,125732.00,12.00,0.00,1.00,0.00,0.00,0.00,0.00,6.00,0.00
58.00,0.00,0.00,0.00,6.00,731.00,5.00,1961502.00,2.00,8.00,0.00,0.65,32184.00,1883.00,0.00,1.06,1434.00,2.00,3.00,18839.00,11.00,188903.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00
55.00,1.00,3.00,1.00,8.00,837.00,1.00,1149427.00,4.00,68.00,0.00,0.16,52409.00,306.00,0.00,0.33,62640.00,1.00,1.00,48512.00,0.00,301758.00,2.00,4.00,1.00,0.00,0.00,0.00,0.00,4.00,0.00
53.00,1.00,3.00,2.00,9.00,360.00,3.00,783477.00,1.00,7.00,0.00,0.16,40898.00,1416.00,0.00,0.32,183464.00,0.00,1.00,2462.00,3.00,254298.00,3.00,4.00,1.00,0.00,3.00,1.00,0.00,5.00,0.00
31.00,0.00,1.00,2.00,8.00,400.00,3.00,1718536.00,5.00,5.00,0.00,0.01,19570.00,1684.00,0.00,0.81,2606.00,3.00,8.00,23060.00,7.00,431907.00,10.00,0.00,2.00,0.00,4.00,0.00,0.00,9.00,0.00
42.00,1.00,3.00,2.00,10.00,590.00,9.00,838381.00,4.00,56.00,0.00,0.01,15622.00,1178.00,0.00,1.18,183031.00,2.00,3.00,27397.00,0.00,16162.00,10.00,5.00,1.00,0.00,4.00,0.00,0.00,5.00,0.00
37.00,0.00,2.00,3.00,6.00,570.00,7.00,1966511.00,3.00,71.00,0.00,0.30,62248.00,680.00,0.00,0.56,113335.00,0.00,8.00,11335.00,11.00,440959.00,9.00,3.00,1.00,0.00,2.00,0.00,0.00,6.00,0.00
51.00,0.00,3.00,1.00,2.00,592.00,7.00,1813154.00,3.00,7.00,0.00,0.16,48129.00,485.00,0.00,0.84,222975.00,3.00,7.00,30655.00,1.00,127115.00,17.00,0.00,2.00,0.00,4.00,1.00,0.00,7.00,0.00
25.00,1.00,0.00,1.00,5.00,734.00,2.00,1687525.00,0.00,34.00,0.00,0.07,77110.00,984.00,0.00,1.07,157117.00,0.00,7.00,19929.00,8.00,387867.00,17.00,1.00,2.00,0.00,4.00,0.00,0.00,1.00,0.00
21.00,2.00,0.00,1.00,8.00,672.00,1.00,1811103.00,5.00,25.00,1.00,0.49,6048.00,1279.00,1.00,0.32,215332.00,0.00,8.00,42196.00,11.00,465360.00,1.00,0.00,1.00,0.00,2.00,1.00,0.00,7.00,0.00
38.00,0.00,2.00,1.00,9.00,696.00,8.00,171378.00,0.00,13.00,0.00,0.42,4648.00,664.00,0.00,0.62,206152.00,3.00,5.00,21292.00,11.00,206132.00,13.00,4.00,0.00,0.00,4.00,1.00,0.00,5.00,1.00
61.00,0.00,2.00,2.00,5.00,310.00,7.00,1692520.00,4.00,74.00,0.00,0.47,86655.00,502.00,0.00,0.48,141229.00,2.00,9.00,45674.00,12.00,269615.00,15.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
54.00,3.00,0.00,1.00,10.00,362.00,2.00,570854.00,0.00,54.00,0.00,0.57,50681.00,1266.00,0.00,0.16,262226.00,0.00,9.00,16453.00,7.00,253987.00,12.00,0.00,2.00,0.00,1.00,0.00,0.00,3.00,0.00
27.00,1.00,3.00,0.00,7.00,625.00,0.00,1908008.00,4.00,88.00,1.00,0.31,32725.00,290.00,0.00,1.12,102017.00,0.00,2.00,44340.00,3.00,482721.00,13.00,3.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
20.00,1.00,3.00,0.00,4.00,591.00,2.00,1332546.00,0.00,56.00,0.00,0.18,45671.00,1542.00,1.00,0.53,254947.00,0.00,10.00,29276.00,0.00,227019.00,11.00,0.00,2.00,0.00,4.00,0.00,0.00,6.00,0.00
29.00,1.00,2.00,2.00,3.00,307.00,0.00,625463.00,0.00,63.00,1.00,0.22,76265.00,1490.00,0.00,1.19,76474.00,0.00,5.00,36823.00,8.00,324904.00,20.00,5.00,2.00,0.00,1.00,0.00,0.00,9.00,0.00
37.00,1.00,0.00,3.00,1.00,401.00,5.00,13396.00,3.00,89.00,0.00,0.66,19185.00,167.00,0.00,0.37,27083.00,3.00,10.00,45246.00,13.00,216730.00,20.00,1.00,0.00,0.00,3.00,1.00,0.00,9.00,1.00
24.00,2.00,2.00,3.00,6.00,524.00,3.00,1867012.00,0.00,36.00,0.00,0.14,5861.00,794.00,0.00,0.81,76316.00,2.00,9.00,39815.00,3.00,447845.00,15.00,0.00,2.00,0.00,2.00,0.00,0.00,7.00,0.00
67.00,2.00,1.00,1.00,1.00,479.00,2.00,153992.00,0.00,83.00,0.00,0.23,39677.00,600.00,1.00,0.79,171122.00,1.00,5.00,5226.00,9.00,237398.00,2.00,0.00,1.00,1.00,1.00,0.00,1.00,9.00,1.00
70.00,1.00,3.00,3.00,7.00,605.00,7.00,911609.00,2.00,30.00,0.00,0.65,31157.00,1419.00,0.00,0.40,127247.00,2.00,5.00,15688.00,0.00,191812.00,20.00,3.00,2.00,1.00,1.00,0.00,0.00,2.00,0.00
57.00,0.00,3.00,3.00,2.00,308.00,5.00,520480.00,4.00,57.00,0.00,0.01,44896.00,579.00,0.00,0.21,298538.00,3.00,4.00,32248.00,11.00,270189.00,1.00,0.00,2.00,0.00,4.00,0.00,0.00,8.00,0.00
53.00,3.00,1.00,0.00,5.00,830.00,8.00,1650917.00,0.00,47.00,0.00,0.24,42595.00,72.00,0.00,0.10,159935.00,3.00,5.00,9796.00,3.00,103786.00,18.00,0.00,1.00,0.00,3.00,1.00,0.00,8.00,0.00
44.00,0.00,0.00,0.00,8.00,470.00,4.00,44700.00,4.00,26.00,0.00,0.00,22107.00,1395.00,1.00,0.38,230871.00,3.00,1.00,43207.00,5.00,394577.00,18.00,4.00,0.00,1.00,4.00,0.00,0.00,2.00,1.00
50.00,2.00,0.00,2.00,6.00,696.00,8.00,502106.00,5.00,56.00,0.00,0.37,80588.00,951.00,0.00,0.37,236473.00,0.00,1.00,12940.00,4.00,444649.00,0.00,2.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00
29.00,1.00,0.00,2.00,7.00,619.00,7.00,835621.00,5.00,11.00,1.00,0.20,73204.00,1731.00,1.00,0.58,196982.00,0.00,4.00,22530.00,11.00,417835.00,9.00,2.00,0.00,1.00,3.00,0.00,0.00,6.00,0.00
25.00,1.00,0.00,0.00,10.00,813.00,1.00,1380490.00,0.00,43.00,0.00,0.09,49584.00,741.00,0.00,0.18,136262.00,3.00,8.00,12325.00,14.00,252757.00,9.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21.00,0.00,0.00,3.00,10.00,652.00,3.00,21109.00,3.00,78.00,0.00,0.29,14145.00,241.00,1.00,0.62,26424.00,0.00,3.00,43843.00,15.00,329548.00,8.00,2.00,0.00,0.00,4.00,1.00,0.00,1.00,1.00
70.00,0.00,0.00,3.00,7.00,507.00,8.00,1919534.00,0.00,75.00,0.00,0.35,79998.00,1370.00,1.00,0.92,44410.00,1.00,4.00,2585.00,12.00,348967.00,12.00,5.00,2.00,0.00,1.00,0.00,0.00,6.00,0.00
51.00,2.00,0.00,3.00,5.00,566.00,2.00,15729.00,3.00,22.00,0.00,0.07,4723.00,1608.00,0.00,0.00,117997.00,1.00,6.00,9763.00,2.00,125561.00,16.00,2.00,0.00,0.00,1.00,1.00,0.00,7.00,1.00
62.00,1.00,2.00,0.00,6.00,622.00,2.00,269085.00,0.00,78.00,0.00,0.55,26029.00,1195.00,0.00,0.55,8717.00,3.00,7.00,2780.00,4.00,170190.00,4.00,0.00,0.00,0.00,3.00,0.00,0.00,8.00,0.00
37.00,3.00,2.00,1.00,9.00,311.00,8.00,1111368.00,5.00,45.00,0.00,0.69,16991.00,1405.00,0.00,0.01,29778.00,1.00,1.00,28980.00,8.00,413101.00,9.00,4.00,1.00,0.00,3.00,1.00,0.00,0.00,0.00
18.00,3.00,1.00,0.00,3.00,535.00,0.00,1926633.00,2.00,64.00,0.00,0.58,78326.00,1373.00,0.00,0.13,280165.00,0.00,4.00,31806.00,10.00,479774.00,14.00,1.00,2.00,1.00,0.00,0.00,0.00,3.00,0.00
39.00,3.00,1.00,1.00,4.00,456.00,3.00,1609749.00,3.00,65.00,0.00,0.44,86834.00,1562.00,0.00,0.05,269482.00,1.00,9.00,14753.00,4.00,63630.00,18.00,2.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00
43.00,3.00,2.00,0.00,7.00,802.00,0.00,242076.00,5.00,47.00,0.00,0.28,89996.00,1672.00,1.00,0.17,60900.00,3.00,7.00,49192.00,2.00,319794.00,18.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
35.00,0.00,1.00,0.00,2.00,652.00,4.00,1675095.00,0.00,21.00,0.00,0.42,13738.00,1483.00,0.00,0.35,103581.00,0.00,4.00,45546.00,6.00,176593.00,15.00,3.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00
45.00,0.00,2.00,3.00,7.00,768.00,1.00,685353.00,4.00,90.00,0.00,0.25,15391.00,295.00,0.00,0.07,277351.00,3.00,4.00,42536.00,15.00,368447.00,14.00,2.00,1.00,0.00,0.00,0.00,0.00,4.00,0.00
49.00,2.00,1.00,2.00,5.00,814.00,9.00,303613.00,4.00,10.00,0.00,0.59,92628.00,1797.00,0.00,0.96,82274.00,1.00,4.00,16994.00,3.00,104531.00,15.00,0.00,2.00,0.00,1.00,0.00,0.00,9.00,0.00
36.00,3.00,2.00,2.00,6.00,667.00,9.00,1793925.00,0.00,86.00,0.00,0.23,22454.00,52.00,1.00,0.73,293660.00,0.00,9.00,22596.00,3.00,82043.00,8.00,1.00,1.00,0.00,1.00,0.00,0.00,4.00,0.00
42.00,2.00,2.00,1.00,10.00,822.00,7.00,1488332.00,1.00,69.00,0.00,0.39,30725.00,419.00,0.00,0.28,240503.00,1.00,3.00,21291.00,3.00,455793.00,10.00,1.00,2.00,0.00,3.00,0.00,0.00,8.00,0.00
40.00,3.00,3.00,3.00,4.00,684.00,1.00,1280435.00,1.00,22.00,0.00,0.52,10072.00,1236.00,0.00,1.08,78392.00,1.00,4.00,20541.00,6.00,184378.00,5.00,5.00,2.00,1.00,0.00,0.00,0.00,9.00,0.00
35.00,0.00,1.00,2.00,1.00,416.00,5.00,1085476.00,4.00,83.00,0.00,0.15,6566.00,107.00,1.00,0.28,237525.00,1.00,4.00,19142.00,13.00,157459.00,11.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00
18.00,1.00,1.00,3.00,8.00,412.00,4.00,39406.00,3.00,32.00,0.00,0.09,57311.00,273.00,0.00,0.85,69011.00,0.00,5.00,16211.00,7.00,465402.00,10.00,0.00,1.00,0.00,3.00,0.00,0.00,2.00,1.00
37.00,2.00,1.00,3.00,4.00,391.00,9.00,1613465.00,0.00,40.00,1.00,0.09,398.00,1640.00,0.00,0.43,221534.00,1.00,7.00,21203.00,15.00,471724.00,17.00,4.00,1.00,0.00,4.00,1.00,0.00,9.00,0.00
65.00,1.00,2.00,0.00,3.00,677.00,7.00,1622195.00,1.00,44.00,0.00,0.60,46068.00,892.00,0.00,0.72,299699.00,1.00,1.00,7557.00,5.00,21826.00,20.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00
57.00,3.00,1.00,2.00,10.00,439.00,1.00,322425.00,0.00,21.00,0.00,0.56,94325.00,153.00,0.00,0.42,280391.00,1.00,7.00,32827.00,13.00,4880.00,2.00,3.00,0.00,0.00,4.00,0.00,0.00,5.00,0.00
54.00,1.00,2.00,3.00,4.00,472.00,1.00,730406.00,1.00,55.00,0.00,0.03,68070.00,1307.00,0.00,1.04,94882.00,0.00,6.00,38504.00,13.00,33905.00,10.00,5.00,2.00,0.00,4.00,0.00,0.00,4.00,0.00
45.00,2.00,2.00,0.00,7.00,666.00,3.00,1893949.00,3.00,2.00,0.00,0.29,95699.00,270.00,0.00,0.43,248414.00,0.00,0.00,6016.00,2.00,191503.00,6.00,1.00,0.00,0.00,1.00,0.00,0.00,6.00,0.00
62.00,1.00,3.00,0.00,4.00,476.00,4.00,77664.00,2.00,84.00,0.00,0.65,67509.00,744.00,0.00,1.00,259745.00,1.00,1.00,30083.00,3.00,16047.00,11.00,3.00,1.00,0.00,3.00,0.00,0.00,7.00,1.00
44.00,3.00,1.00,1.00,7.00,698.00,7.00,1127052.00,2.00,10.00,0.00,0.62,98717.00,123.00,0.00,0.74,35154.00,1.00,8.00,15427.00,0.00,354483.00,16.00,2.00,1.00,0.00,4.00,1.00,0.00,5.00,0.00
36.00,1.00,3.00,1.00,5.00,358.00,0.00,1444313.00,2.00,7.00,0.00,0.41,84743.00,580.00,0.00,0.29,293461.00,3.00,4.00,2602.00,2.00,24129.00,13.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00
21.00,1.00,2.00,3.00,2.00,559.00,9.00,1144475.00,0.00,52.00,1.00,0.55,86336.00,404.00,0.00,0.75,224793.00,2.00,9.00,19997.00,6.00,403258.00,12.00,4.00,0.00,1.00,0.00,0.00,0.00,8.00,0.00
57.00,0.00,0.00,0.00,9.00,533.00,6.00,1827523.00,3.00,66.00,0.00,0.24,18937.00,949.00,1.00,0.85,145698.00,1.00,1.00,26085.00,14.00,1318.00,9.00,2.00,2.00,0.00,3.00,0.00,0.00,2.00,0.00
22.00,1.00,3.00,1.00,6.00,539.00,8.00,828580.00,4.00,25.00,0.00,0.30,66786.00,19.00,0.00,0.73,288069.00,0.00,6.00,43367.00,10.00,319724.00,9.00,5.00,1.00,0.00,1.00,1.00,0.00,7.00,0.00
58.00,0.00,3.00,0.00,7.00,395.00,6.00,837665.00,3.00,27.00,0.00,0.49,77153.00,824.00,0.00,0.67,60016.00,3.00,4.00,41730.00,5.00,283418.00,13.00,0.00,0.00,0.00,4.00,1.00,0.00,2.00,0.00
18.00,1.00,3.00,1.00,2.00,334.00,4.00,375986.00,1.00,45.00,0.00,0.36,45252.00,1836.00,0.00,0.50,165631.00,2.00,7.00,22682.00,1.00,367993.00,10.00,0.00,1.00,0.00,1.00,0.00,1.00,2.00,0.00
41.00,0.00,3.00,1.00,8.00,345.00,5.00,401243.00,4.00,68.00,0.00,0.35,51564.00,1336.00,0.00,0.58,46967.00,2.00,9.00,49098.00,14.00,375139.00,8.00,3.00,2.00,0.00,3.00,0.00,0.00,3.00,0.00
59.00,2.00,3.00,1.00,8.00,675.00,1.00,1444797.00,1.00,1.00,0.00,0.46,29004.00,988.00,1.00,0.51,15628.00,3.00,8.00,39605.00,15.00,121364.00,1.00,4.00,0.00,0.00,4.00,0.00,0.00,4.00,0.00
51.00,3.00,1.00,1.00,5.00,522.00,4.00,330535.00,4.00,57.00,0.00,0.68,64677.00,251.00,0.00,0.56,201716.00,3.00,3.00,17086.00,12.00,10077.00,16.00,5.00,1.00,0.00,4.00,0.00,0.00,0.00,0.00
69.00,0.00,0.00,3.00,7.00,774.00,9.00,1716263.00,2.00,64.00,0.00,0.63,70864.00,1591.00,0.00,0.24,27839.00,2.00,9.00,14273.00,14.00,437479.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
51.00,1.00,1.00,1.00,6.00,844.00,1.00,891912.00,2.00,41.00,0.00,0.09,10110.00,161.00,0.00,0.25,57147.00,2.00,10.00,42501.00,11.00,72931.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00
61.00,0.00,3.00,2.00,8.00,639.00,0.00,19063.00,2.00,12.00,0.00,0.51,77032.00,85.00,0.00,0.70,64679.00,1.00,5.00,27566.00,7.00,134409.00,14.00,5.00,1.00,0.00,1.00,0.00,0.00,9.00,1.00
33.00,0.00,3.00,0.00,9.00,649.00,9.00,791116.00,0.00,0.00,0.00,0.27,11457.00,1702.00,0.00,0.67,288075.00,3.00,10.00,26667.00,10.00,346441.00,19.00,2.00,0.00,0.00,4.00,0.00,0.00,5.00,0.00
52.00,0.00,2.00,2.00,10.00,652.00,0.00,644562.00,1.00,80.00,0.00,0.63,40176.00,1893.00,0.00,0.10,258051.00,0.00,9.00,10202.00,10.00,91940.00,0.00,5.00,1.00,0.00,4.00,1.00,0.00,6.00,0.00
57.00,2.00,0.00,2.00,1.00,333.00,2.00,895620.00,5.00,52.00,0.00,0.03,88202.00,615.00,0.00,0.80,150226.00,3.00,5.00,639.00,15.00,153922.00,20.00,2.00,0.00,0.00,2.00,0.00,0.00,4.00,0.00
52.00,1.00,0.00,0.00,5.00,476.00,6.00,1862877.00,2.00,21.00,0.00,0.38,65001.00,710.00,0.00,0.56,272430.00,1.00,10.00,4990.00,13.00,243132.00,1.00,0.00,1.00,0.00,4.00,0.00,0.00,5.00,0.00
46.00,2.00,1.00,1.00,9.00,780.00,1.00,843957.00,2.00,51.00,0.00,0.62,91742.00,1124.00,1.00,0.39,8694.00,1.00,2.00,36639.00,8.00,106913.00,1.00,3.00,1.00,0.00,1.00,0.00,0.00,5.00,0.00
32.00,3.00,3.00,1.00,8.00,515.00,5.00,1168250.00,2.00,85.00,0.00,0.16,57642.00,1701.00,0.00,0.97,180520.00,1.00,6.00,31468.00,2.00,136985.00,15.00,5.00,1.00,0.00,3.00,1.00,0.00,9.00,0.00
48.00,1.00,2.00,2.00,10.00,511.00,9.00,1137551.00,5.00,9.00,0.00,0.61,70739.00,61.00,0.00,0.42,249621.00,2.00,7.00,38394.00,1.00,163997.00,13.00,3.00,2.00,1.00,4.00,0.00,0.00,8.00,0.00
23.00,0.00,0.00,2.00,7.00,719.00,6.00,282805.00,3.00,8.00,0.00,0.39,38052.00,130.00,0.00,0.88,82468.00,3.00,8.00,8883.00,7.00,56436.00,5.00,5.00,1.00,0.00,4.00,0.00,0.00,5.00,0.00
18.00,1.00,2.00,3.00,5.00,806.00,4.00,37596.00,5.00,38.00,0.00,0.47,81667.00,1067.00,0.00,0.50,163440.00,0.00,0.00,3151.00,0.00,137457.00,0.00,0.00,1.00,0.00,4.00,0.00,0.00,0.00,1.00
23.00,1.00,1.00,2.00,7.00,479.00,8.00,1394032.00,0.00,53.00,1.00,0.02,9814.00,469.00,0.00,0.80,187411.00,2.00,6.00,41181.00,14.00,217882.00,18.00,2.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00
31.00,1.00,3.00,2.00,7.00,537.00,4.00,847546.00,0.00,36.00,0.00,0.57,54504.00,172.00,0.00,0.48,255241.00,1.00,7.00,2477.00,11.00,387394.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00
33.00,0.00,2.00,2.00,3.00,635.00,6.00,679708.00,0.00,12.00,0.00,0.62,25686.00,887.00,0.00,1.16,20044.00,1.00,1.00,8430.00,7.00,468609.00,7.00,2.00,2.00,0.00,3.00,0.00,0.00,5.00,0.00
66.00,1.00,3.00,2.00,5.00,458.00,5.00,1027667.00,4.00,26.00,1.00,0.24,79132.00,970.00,0.00,1.11,255951.00,1.00,8.00,33982.00,10.00,99358.00,5.00,0.00,1.00,1.00,2.00,1.00,0.00,1.00,0.00
